EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440037,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321239, -99.545280",PROFUNDO,0.10,2.33,1.30,3.03
TERRA,44,,440038,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321239, -99.545280",PROFUNDO,0.10,2.48,2.30,5.70
TERRA,44,,440039,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321296, -99.545325",PROFUNDO,0.10,3.00,2.40,7.20
TERRA,44,,440040,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321301, -99.545312",PROFUNDO,0.10,3.04,2.51,7.63
TERRA,44,,440041,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321401, -99.545369",SUPERFICIAL,0.07,1.70,1.40,2.38
TERRA,44,,440042,,,,8/4/2026,,DEPORTIVA,FELIPE CHÁVEZ,RIO LERMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321485, -99.545388",SUPERFICIAL,0.07,1.90,1.70,3.23
,,,,3,,,,,,,,,,,,,,,
SEMANA 3,,,,,NO TRABAJARON,,,,,,,,,,,,,,
,,,,4,,,,,,,,,,,,,,,
TERRA,44,,440043,,,,15/6/2026,,RIO LERMA ,VICENTE SUAREZ,AGUSTIN MELGAR,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321114, -99.543917",SUPERFICIAL,0.07,1.92,1.77,3.40
TERRA,44,,440044,,,,15/6/2026,,RIO LERMA ,AGUSTIN MELGAR ,IGNACIO ALLENDE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321080, -99.544197",SUPERFICIAL,0.07,5.75,1.86,10.70
TERRA,44,,440045,,,,15/6/2026,,RIO LERMA ,AGUSTIN MELGAR ,IGNACIO ALLENDE ,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.321181, -99.542995",SUPERFICIAL,0.07,2.80,1.03,2.88
