UNIVERSIDAD - 07 - DOMAJA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,OBSERVACIONES,Solicitud Atendida,,fechaRealizado,,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
DOMAJA ,07,,070030,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277948, -99.650902",PROFUNDO,0.10,1.92,2.06,3.96
DOMAJA ,07,,070031,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277927, -99.650803",PROFUNDO,0.10,1.50,1.80,2.70
DOMAJA ,07,,070032,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.277769, -99.650780",PROFUNDO,0.10,1.20,1.40,1.68
DOMAJA ,07,,070033,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277790, -99.650826",PROFUNDO,0.10,1.26,1.60,2.02
DOMAJA ,07,,070034,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277790, -99.650826",PROFUNDO,0.10,1.81,4.27,7.73
DOMAJA ,07,,070035,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277763, -99.650818",PROFUNDO,0.10,1.15,1.19,1.37
DOMAJA ,07,,070036,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277790, -99.650856",PROFUNDO,0.10,1.12,1.20,1.34
DOMAJA ,07,,070037,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277725, -99.650848",PROFUNDO,0.10,3.00,3.00,9.00
DOMAJA ,07,,070038,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277626, -99.650841",PROFUNDO,0.10,3.00,2.95,8.85
DOMAJA ,07,,070039,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277620, -99.650803",PROFUNDO,0.10,1.60,2.97,4.75
DOMAJA ,07,,070040,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277599, -99.650803",PROFUNDO,0.10,3.05,4.40,13.42
DOMAJA ,07,,070041,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277599, -99.650803",PROFUNDO,0.10,1.76,2.19,3.85
DOMAJA ,07,,070042,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277599, -99.650803",PROFUNDO,0.10,2.24,1.53,3.43
DOMAJA ,07,,070043,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277594, -99.650833",PROFUNDO,0.10,1.90,2.30,4.37
DOMAJA ,07,,070044,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277571, -99.650818",PROFUNDO,0.10,2.70,2.05,5.54
DOMAJA ,07,,070045,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,PORFIRIO DIAZ,AV. PASEO TOLLOCAN,UNIVERSIDAD,UNIVERSIDAD,"19.277430, -99.650642",PROFUNDO,0.10,4.07,2.20,8.95
